"notebook","label"
"4 Data Visualization","trans-drv-plot"
"4 Data Visualization","trans2-fill-class"
"5 Discrete Probability Distributions","binom-assignments-ex1"
"5 Discrete Probability Distributions","binom-assignments-ex2"
"5 Discrete Probability Distributions","binom-assignments-ex3"
"5 Discrete Probability Distributions","binom-assignments-ex4"
"5 Discrete Probability Distributions","binom-assignments-ex5"
"5 Discrete Probability Distributions","binom-assignments-ex6"
"5 Discrete Probability Distributions","binom-assignments-ex7"
"5 Discrete Probability Distributions","chem-quiz-binom"
"5 Discrete Probability Distributions","pAandB"
"6 Introduction to the Normal Distribution","GRE-QR-percentile"
"6 Introduction to the Normal Distribution","GRE-VR-percent-above"
"6 Introduction to the Normal Distribution","chick-pox-exp"
"6 Introduction to the Normal Distribution","chick-pox-prob-atleast"
"6 Introduction to the Normal Distribution","chick-pox-prob-atmost"
"6 Introduction to the Normal Distribution","chick-pox-prob-between"
"6 Introduction to the Normal Distribution","chick-pox-prob-exact1"
"6 Introduction to the Normal Distribution","chick-pox-prob-exact2"
"6 Introduction to the Normal Distribution","chick-pox-sd"
"6 Introduction to the Normal Distribution","find-percentile"
"6 Introduction to the Normal Distribution","pnorm-ex1-left"
"6 Introduction to the Normal Distribution","pnorm-ex2-left"
"6 Introduction to the Normal Distribution","pnorm-ex3-right"
"6 Introduction to the Normal Distribution","pnorm-ex4-right"
"6 Introduction to the Normal Distribution","pnorm-ex5-mid"
"6 Introduction to the Normal Distribution","pnorm-ex6-out"
"6 Introduction to the Normal Distribution","pnorm-ex7-out"
"6 Introduction to the Normal Distribution","z-score-QR"
"6 Introduction to the Normal Distribution","z-score-VR"
"7 Discrete Distributions Lab","plot-streak-kobe"
"7 Discrete Distributions Lab","sim-independent"
"7 Discrete Distributions Lab","sim-streak"
"8 Normal Distribution Lab","head-data"
"8 Normal Distribution Lab","prob-height-norm"
"8 Normal Distribution Lab","subset-mf"
