"notebook","label"
"12 Inference Practice I","try-it-1a-question-8"
"12 Inference Practice I","try-it-1a-question-9"
"12 Inference Practice I","try-it-1b-question-1"
"12 Inference Practice I","try-it-1b-question-2"
"12 Inference Practice I","try-it-1b-question-3"
"12 Inference Practice I","try-it-1b-question-4"
"12 Inference Practice I","try-it-1b-question-5"
"12 Inference Practice I","try-it-1b-question-6"
"12 Inference Practice I","try-it-2-question-1"
"12 Inference Practice I","try-it-2-question-11"
"12 Inference Practice I","try-it-2-question-12"
"12 Inference Practice I","try-it-2-question-2"
"12 Inference Practice I","try-it-2-question-3"
"12 Inference Practice I","try-it-2-question-4"
"12 Inference Practice I","try-it-2-question-5"
"12 Inference Practice I","try-it-2-question-6"
"12 Inference Practice I","try-it-2-question-9"
"12 Inference Practice I","try-it-1a-question-1"
"12 Inference Practice I","try-it-1a-question-10"
"12 Inference Practice I","try-it-1a-question-11"
"12 Inference Practice I","try-it-1a-question-2"
"12 Inference Practice I","try-it-1a-question-3"
"12 Inference Practice I","try-it-1a-question-4"
"12 Inference Practice I","try-it-1a-question-5"
"12 Inference Practice I","try-it-1a-question-6"
"12 Inference Practice I","try-it-1a-question-7"
"12 Inference Practice I","try-it-1a-question-8"
"12 Inference Practice I","try-it-1a-question-9"
"12 Inference Practice I","try-it-1b-question-1"
"12 Inference Practice I","try-it-1b-question-2"
"12 Inference Practice I","try-it-1b-question-3"
"12 Inference Practice I","try-it-1b-question-4"
"12 Inference Practice I","try-it-1b-question-5"
"12 Inference Practice I","try-it-1b-question-6"
"12 Inference Practice I","try-it-2-question-1"
"12 Inference Practice I","try-it-2-question-11"
"12 Inference Practice I","try-it-2-question-12"
"12 Inference Practice I","try-it-2-question-2"
"12 Inference Practice I","try-it-2-question-3"
"12 Inference Practice I","try-it-2-question-4"
"12 Inference Practice I","try-it-2-question-5"
"12 Inference Practice I","try-it-2-question-6"
"12 Inference Practice I","try-it-2-question-9"
"13 Inference for Categorical Data Lab","interp-inference-moe"
"13 Inference for Categorical Data Lab","p-and-me-questions-1"
"13 Inference for Categorical Data Lab","p-and-me-questions-2"
"13 Inference for Categorical Data Lab","question-assumptions"
"13 Inference for Categorical Data Lab","questions-report-1"
"13 Inference for Categorical Data Lab","questions-report-2"
"13 Inference for Categorical Data Lab","questions-report-3"
"13 Inference for Categorical Data Lab","table-v-df"
"13 Inference for Categorical Data Lab","interp-inference-moe"
"13 Inference for Categorical Data Lab","p-and-me-questions-1"
"13 Inference for Categorical Data Lab","p-and-me-questions-2"
"13 Inference for Categorical Data Lab","question-assumptions"
"13 Inference for Categorical Data Lab","questions-report-1"
"13 Inference for Categorical Data Lab","questions-report-2"
"13 Inference for Categorical Data Lab","questions-report-3"
"13 Inference for Categorical Data Lab","table-v-df"
"14 Inference for One or More Categorical Variables with Many Levels","chisq-gof-conclusion-1"
"14 Inference for One or More Categorical Variables with Many Levels","chisq-gof-conclusion-2"
"14 Inference for One or More Categorical Variables with Many Levels","chisq-indep-conclusion-1"
"14 Inference for One or More Categorical Variables with Many Levels","chisq-indep-conclusion-2"
"14 Inference for One or More Categorical Variables with Many Levels","hypotheses"
"14 Inference for One or More Categorical Variables with Many Levels","hypotheses-gof"
"14 Inference for One or More Categorical Variables with Many Levels","test-indep-initial-qs-1"
"14 Inference for One or More Categorical Variables with Many Levels","test-indep-initial-qs-2"
"14 Inference for One or More Categorical Variables with Many Levels","test-indep-initial-qs-3"
"14 Inference for One or More Categorical Variables with Many Levels","what-test-1"
"14 Inference for One or More Categorical Variables with Many Levels","what-test-2"
"14 Inference for One or More Categorical Variables with Many Levels","what-test-3"
"14 Inference for One or More Categorical Variables with Many Levels","what-test-4"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ci-1"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ci-11"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ci-3"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ci-5"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ci-6"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-1"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-15-1"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-15-2"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-2"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-20-1"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-20-2"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-20-3"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-3"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-4"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-5"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-6"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-7"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-8-1"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","sentencing-ht-8-2"
"15 Hypothesis Tests and Confidence Intervals for Numerical Data","try-it-1a-question-10"
"16 Inference Practice II","prob1-1"
"16 Inference Practice II","prob1-2"
"16 Inference Practice II","prob1-3"
"16 Inference Practice II","prob1-4-1"
"16 Inference Practice II","prob1-4-2"
"16 Inference Practice II","prob10-1"
"16 Inference Practice II","prob10-12-1"
"16 Inference Practice II","prob10-12-2"
"16 Inference Practice II","prob10-2"
"16 Inference Practice II","prob10-3"
"16 Inference Practice II","prob10-4"
"16 Inference Practice II","prob10-5"
"16 Inference Practice II","prob10-6-1"
"16 Inference Practice II","prob10-6-2"
"16 Inference Practice II","prob11-1"
"16 Inference Practice II","prob11-14-1"
"16 Inference Practice II","prob11-14-2"
"16 Inference Practice II","prob11-2"
"16 Inference Practice II","prob11-3"
"16 Inference Practice II","prob11-4"
"16 Inference Practice II","prob11-5"
"16 Inference Practice II","prob11-6"
"16 Inference Practice II","prob11-7"
"16 Inference Practice II","prob11-8-1"
"16 Inference Practice II","prob11-8-2"
"16 Inference Practice II","prob12-1"
"16 Inference Practice II","prob12-12"
"16 Inference Practice II","prob12-2"
"16 Inference Practice II","prob12-3"
"16 Inference Practice II","prob12-4"
"16 Inference Practice II","prob12-5"
"16 Inference Practice II","prob12-6-1"
"16 Inference Practice II","prob12-6-2"
"16 Inference Practice II","prob2-1"
"16 Inference Practice II","prob2-14-1"
"16 Inference Practice II","prob2-14-2"
"16 Inference Practice II","prob2-2"
"16 Inference Practice II","prob2-3"
"16 Inference Practice II","prob2-4"
"16 Inference Practice II","prob2-5"
"16 Inference Practice II","prob2-6"
"16 Inference Practice II","prob2-7"
"16 Inference Practice II","prob2-8-1"
"16 Inference Practice II","prob2-8-2"
"16 Inference Practice II","prob3-1"
"16 Inference Practice II","prob3-12"
"16 Inference Practice II","prob3-2"
"16 Inference Practice II","prob3-3"
"16 Inference Practice II","prob3-4"
"16 Inference Practice II","prob3-5"
"16 Inference Practice II","prob3-6-1"
"16 Inference Practice II","prob3-6-2"
"16 Inference Practice II","prob4-1"
"16 Inference Practice II","prob4-11"
"16 Inference Practice II","prob4-2"
"16 Inference Practice II","prob4-3"
"16 Inference Practice II","prob4-4"
"16 Inference Practice II","prob4-5-1"
"16 Inference Practice II","prob4-5-2"
"16 Inference Practice II","prob5-1"
"16 Inference Practice II","prob5-2"
"16 Inference Practice II","prob6-1"
"16 Inference Practice II","prob6-11"
"16 Inference Practice II","prob6-2"
"16 Inference Practice II","prob6-3"
"16 Inference Practice II","prob6-4"
"16 Inference Practice II","prob6-5-1"
"16 Inference Practice II","prob6-5-2"
"16 Inference Practice II","prob7-1"
"16 Inference Practice II","prob7-12-1"
"16 Inference Practice II","prob7-12-2"
"16 Inference Practice II","prob7-2"
"16 Inference Practice II","prob7-3"
"16 Inference Practice II","prob7-4"
"16 Inference Practice II","prob7-5"
"16 Inference Practice II","prob7-6-1"
"16 Inference Practice II","prob7-6-2"
"16 Inference Practice II","prob8-1"
"16 Inference Practice II","prob8-13-1"
"16 Inference Practice II","prob8-13-2"
"16 Inference Practice II","prob8-2"
"16 Inference Practice II","prob8-3"
"16 Inference Practice II","prob8-4"
"16 Inference Practice II","prob8-5"
"16 Inference Practice II","prob8-6"
"16 Inference Practice II","prob8-7-1"
"16 Inference Practice II","prob8-7-2"
"16 Inference Practice II","prob9-1"
"16 Inference Practice II","prob9-2"
"17 Inference for Numerical Data Lab","hypotheses-sVns"
"17 Inference for Numerical Data Lab","inference-habit-conditions-questions-1"
"17 Inference for Numerical Data Lab","inference-habit-conditions-questions-2"
"17 Inference for Numerical Data Lab","inference-habit-conditions-questions-3"
"17 Inference for Numerical Data Lab","nc-cases-1"
"17 Inference for Numerical Data Lab","nc-cases-2"
"17 Inference for Numerical Data Lab","nc-explore-num-cat-out-questions"
"18 ANOVA","anova-test-interp-1"
"18 ANOVA","anova-test-interp-2"
"18 ANOVA","anova-test-interp-3"
"18 ANOVA","anova-test-interp-4"
"18 ANOVA","anova-test-interp-5"
"18 ANOVA","quiz-anova-1"
"18 ANOVA","quiz-anova-2"
"18 ANOVA","quiz-anova-3"
"18 ANOVA","quiz-anova-4"
"18 ANOVA","tukey-test-interp-1"
"19 Linear Regression","describe-scores-1"
"19 Linear Regression","describe-scores-2"
"19 Linear Regression","interp-reg-1"
"19 Linear Regression","interp-reg-2"
"19 Linear Regression","interp-reg-3"
"19 Linear Regression","interp-summary-full-1"
"19 Linear Regression","interp-summary-full-2"
"19 Linear Regression","practical-predictor"
"19 Linear Regression","select-characteristics"
"19 Linear Regression","sig-not-pract"
"19 Linear Regression","understand-study-1"
"19 Linear Regression","understand-study-2"
"19 Linear Regression","understand-study-3"
"3 Summarizing Numerical and Categorical Data","meanVsMedian"
"3 Summarizing Numerical and Categorical Data","needForSpread"
"3 Summarizing Numerical and Categorical Data","samplesToEstimatePop-1"
"3 Summarizing Numerical and Categorical Data","samplesToEstimatePop-2"
"3 Summarizing Numerical and Categorical Data","spreadIntuition-1"
"3 Summarizing Numerical and Categorical Data","spreadIntuition-2"
"4 Data Visualization","interpret-displ-hwy-plot-1"
"4 Data Visualization","interpret-displ-hwy-plot-2"
"4 Data Visualization","interpret-displ-hwy-plot-3"
"4 Data Visualization","mpg-basic-description-1"
"4 Data Visualization","mpg-basic-description-2"
"4 Data Visualization","mpg-basic-description-3"
"4 Data Visualization","need-for-spread"
"4 Data Visualization","plot-class-drv-basics-1"
"4 Data Visualization","plot-class-drv-basics-2"
"4 Data Visualization","understand-nrow-arg"
"5 Discrete Probability Distributions","basic-probability-quiz-1"
"5 Discrete Probability Distributions","basic-probability-quiz-2"
"5 Discrete Probability Distributions","basic-probability-quiz-3"
"5 Discrete Probability Distributions","build-probA-and-B-1"
"5 Discrete Probability Distributions","build-probA-and-B-2"
"5 Discrete Probability Distributions","chem-quiz-probability-1"
"5 Discrete Probability Distributions","chem-quiz-probability-2"
"5 Discrete Probability Distributions","chem-quiz-probability-3"
"5 Discrete Probability Distributions","chem-quiz-probability-4"
"5 Discrete Probability Distributions","chem-quiz-probability-5"
"6 Introduction to the Normal Distribution","GRE-compare-zscore"
"6 Introduction to the Normal Distribution","SAT-ACT-percentiles-1"
"6 Introduction to the Normal Distribution","SAT-ACT-percentiles-2"
"6 Introduction to the Normal Distribution","SAT-ACT-percentiles-3"
"6 Introduction to the Normal Distribution","SAT-ACT-z-scores-1"
"6 Introduction to the Normal Distribution","SAT-ACT-z-scores-2"
"6 Introduction to the Normal Distribution","SAT-ACT-z-scores-3"
"6 Introduction to the Normal Distribution","empirical-rule-questions-1"
"6 Introduction to the Normal Distribution","empirical-rule-questions-2"
"6 Introduction to the Normal Distribution","surprised-if"
"7 Discrete Distributions Lab","changing-sample-sim-1"
"7 Discrete Distributions Lab","changing-sample-sim-2"
"7 Discrete Distributions Lab","describe-streaks-1"
"7 Discrete Distributions Lab","describe-streaks-2"
"7 Discrete Distributions Lab","describe-streaks-3"
"7 Discrete Distributions Lab","hh-binomial-assumptions"
"7 Discrete Distributions Lab","streak0-1"
"7 Discrete Distributions Lab","streak0-2"
"8 Normal Distribution Lab","distribution-quests-1"
"8 Normal Distribution Lab","distribution-quests-2"
"8 Normal Distribution Lab","distribution-quests-3"
"8 Normal Distribution Lab","weights-question"
"9 Foundations for Inference (the Central Limit Theorem)","generic-pop-samp-dist-questions-1"
"9 Foundations for Inference (the Central Limit Theorem)","generic-pop-samp-dist-questions-2"
"9 Foundations for Inference (the Central Limit Theorem)","generic-pop-samp-dist-questions-3"
"9 Foundations for Inference (the Central Limit Theorem)","normal-pop-samp-dist-questions-1"
"9 Foundations for Inference (the Central Limit Theorem)","normal-pop-samp-dist-questions-2"
"9 Foundations for Inference (the Central Limit Theorem)","normal-pop-samp-dist-questions-3"
"9 Foundations for Inference (the Central Limit Theorem)","normal-pop-samp-dist-questions-4"
"9 Foundations for Inference (the Central Limit Theorem)","skewed-pop-samp-dist-questions-1"
"9 Foundations for Inference (the Central Limit Theorem)","skewed-pop-samp-dist-questions-2"
"9 Foundations for Inference (the Central Limit Theorem)","skewed-pop-samp-dist-questions-3"
"9 Foundations for Inference (the Central Limit Theorem)","skewed-pop-samp-dist-questions-4"
"9 Foundations for Inference (the Central Limit Theorem)","spraypaint-questions-1"
"9 Foundations for Inference (the Central Limit Theorem)","spraypaint-questions-2"
"9 Foundations for Inference (the Central Limit Theorem)","spraypaint-questions-3"
"9 Foundations for Inference (the Central Limit Theorem)","spraypaint-questions-4"
"9 Foundations for Inference (the Central Limit Theorem)","uniform-pop-samp-dist-questions-1"
"9 Foundations for Inference (the Central Limit Theorem)","uniform-pop-samp-dist-questions-2"
"9 Foundations for Inference (the Central Limit Theorem)","uniform-pop-samp-dist-questions-3"
